GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
59610,"JPMorgan Chase, Sydney",784028,201903,-4342801.98
59610,"JPMorgan Chase, Sydney",784028,201904,-9757639.73
59610,"JPMorgan Chase, Sydney",784028,201905,-2878350.85
59610,"JPMorgan Chase, Sydney",784028,201906,-9065218.77
59611,"JPMorgan Chase, Sydney FX",784031,201501,158852.72
59611,"JPMorgan Chase, Sydney FX",784031,201502,-17385.3
59611,"JPMorgan Chase, Sydney FX",784031,201503,133364.8
59611,"JPMorgan Chase, Sydney FX",784031,201504,-16720533.34
59611,"JPMorgan Chase, Sydney FX",784031,201505,-62270.21
59611,"JPMorgan Chase, Sydney FX",784031,201506,-1220173.01
59611,"JPMorgan Chase, Sydney FX",784031,201507,465001.89
59611,"JPMorgan Chase, Sydney FX",784031,201508,-850692.2
59611,"JPMorgan Chase, Sydney FX",784031,201509,622252.76
59611,"JPMorgan Chase, Sydney FX",784031,201510,-505183.92
59611,"JPMorgan Chase, Sydney FX",784031,201511,-413598.79
